country,marketplace,seller,seller name,fk_brand_used_id,day,sum_quantity,sum_s_seller_selling,sum_s_net,month
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2024-08-08,2,33.29 ,29.74 ,2024_08
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2024-08-27,1,32.80 ,29.24 ,2024_08
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2024-09-29,1,36.35 ,29.08 ,2024_09
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2024-10-03,1,17.23 ,15.81 ,2024_10
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2024-10-05,1,17.48 ,16.05 ,2024_10
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2024-10-06,1,34.00 ,29.74 ,2024_10
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2024-11-03,1,33.90 ,29.48 ,2024_11
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2024-11-04,4,89.17 ,74.08 ,2024_11
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2024-11-05,3,85.31 ,73.03 ,2024_11
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2024-11-09,1,33.90 ,29.48 ,2024_11
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2024-11-18,1,9.60 ,8.83 ,2024_11
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2024-11-22,2,33.90 ,29.31 ,2024_11
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2024-11-25,2,66.62 ,54.23 ,2024_11
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2024-11-30,2,17.83 ,15.51 ,2024_11
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2024-12-08,5,47.99 ,38.39 ,2024_12
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2024-12-09,1,18.42 ,8.95 ,2024_12
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2024-12-27,4,73.70 ,58.96 ,2024_12
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2025-01-04,1,9.60 ,8.83 ,2025_01
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2025-01-05,1,18.18 ,15.05 ,2025_01
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2025-01-08,1,9.60 ,8.02 ,2025_01
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2025-01-12,2,28.12 ,25.30 ,2025_01
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2025-01-13,3,53.62 ,48.26 ,2025_01
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2025-01-15,2,19.19 ,18.23 ,2025_01
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2025-01-16,1,17.87 ,15.98 ,2025_01
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2025-01-20,1,9.60 ,9.59 ,2025_01
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2025-01-22,9,134.22 ,115.15 ,2025_01
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2025-01-23,2,35.37 ,35.37 ,2025_01
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2025-01-24,3,53.13 ,51.35 ,2025_01
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2025-01-25,3,51.80 ,40.50 ,2025_01
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2025-01-26,1,17.27 ,16.08 ,2025_01
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2025-02-11,1,9.21 ,9.20 ,2025_02
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2025-02-13,1,9.21 ,4.47 ,2025_02
MY,TTK,MY.TTK.7495640497701751442,Pediasure.Ensure.Similac,apple,2025-02-14,1,17.27 ,13.71 ,2025_02
